"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","10.12.19.101","10.12.19.1","DNS","73","Standard query 0x0b5c A fersite24.xyz"
"2","0.301611","10.12.19.1","10.12.19.101","DNS","89","Standard query response 0x0b5c A fersite24.xyz A 47.241.19.44"
"3","0.303140","10.12.19.101","47.241.19.44","TCP","66","49738  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.547875","47.241.19.44","10.12.19.101","TCP","66","443  >  49738 [SYN, ACK] Seq=0 Ack=1 Win=55520 Len=0 MSS=1388 SACK_PERM=1 WS=256"
"5","0.548230","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
"6","0.550233","10.12.19.101","47.241.19.44","TLSv1.2","243","Client Hello"
"7","0.589444","47.241.19.44","10.12.19.101","TCP","54","443  >  49738 [ACK] Seq=1 Ack=190 Win=56832 Len=0"
"8","1.213269","47.241.19.44","10.12.19.101","TLSv1.2","1442","Server Hello"
"9","1.213643","47.241.19.44","10.12.19.101","TLSv1.2","1442","Certificate [TCP segment of a reassembled PDU]"
"10","1.213663","47.241.19.44","10.12.19.101","TLSv1.2","144","Server Key Exchange, Server Hello Done"
"11","1.213856","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=190 Ack=1389 Win=262144 Len=0"
"12","1.214855","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=190 Ack=2867 Win=262144 Len=0"
"13","1.224814","10.12.19.101","47.241.19.44","TLSv1.2","147","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"14","1.251078","47.241.19.44","10.12.19.101","TCP","54","443  >  49738 [ACK] Seq=2867 Ack=283 Win=56832 Len=0"
"15","1.666018","47.241.19.44","10.12.19.101","TLSv1.2","328","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"16","1.666403","10.12.19.101","47.241.19.44","TCP","54","49738  >  443 [ACK] Seq=283 Ack=3141 Win=261632 Len=0"
"17","1.667646","10.12.19.101","47.241.19.44","TLSv1.2","320","Application Data"
"18","1.699033","47.241.19.44","10.12.19.101","TCP","54","443  >  49738 [ACK] Seq=3141 Ack=549 Win=57856 Len=0"
"19","2.630877","47.241.19.44","10.12.19.101","TLSv1.2","321","Application Data"
